Sequence,Test,P-value,Result
enc_lenna.png,Birthday spacing,0.323324,Success
enc_lenna.png,Overlapping permutation,0.490061,Success
enc_lenna.png,Binary rank 31 x 31,0.604541,Success
enc_lenna.png,Binary rank 6 x 8,0.613319,Success
enc_lenna.png,Bitstream,0.992177,Success
enc_lenna.png,OPSO,0.029753,Success
enc_lenna.png,OQSO,0.655291,Success
enc_lenna.png,DNA,0.655291,Success
enc_lenna.png,Count the ones 01,0.931275,Success
enc_lenna.png,Count the ones 02,0.651831,Success
enc_lenna.png,Parking lot,0.471578,Success
enc_lenna.png,Minimum distance,0.630884,Success
enc_lenna.png,3DS spheres,0.259181,Success
enc_lenna.png,Squeeze,0.755917,Success
enc_lenna.png,Overlapping sum,0.204422,Success
enc_lenna.png,Runs,0.712114,Success
enc_lenna.png,CrapsRa,0.309390,Success
enc_lenna.png,Birthday spacing,0.323324,Success
enc_lenna.png,Overlapping permutation,0.490061,Success
enc_lenna.png,Binary rank 31 x 31,0.604541,Success
enc_lenna.png,Binary rank 6 x 8,0.613319,Success
enc_lenna.png,Bitstream,0.992177,Success
enc_lenna.png,OPSO,0.029753,Success
enc_lenna.png,OQSO,0.655291,Success
enc_lenna.png,DNA,0.655291,Success
enc_lenna.png,Count the ones 01,0.931275,Success
enc_lenna.png,Count the ones 02,0.651831,Success
enc_lenna.png,Parking lot,0.466959,Success
enc_lenna.png,Minimum distance,0.630884,Success
enc_lenna.png,3DS spheres,0.259181,Success
enc_lenna.png,Squeeze,0.137708,Success
enc_lenna.png,Overlapping sum,0.204422,Success
enc_lenna.png,Runs,0.712114,Success
enc_lenna.png,CrapsRa,0.309390,Success
enc_lenna.png,Birthday spacing,0.323324,Success
enc_lenna.png,Overlapping permutation,0.490061,Success
enc_lenna.png,Binary rank 31 x 31,0.604541,Success
enc_lenna.png,Binary rank 6 x 8,0.613319,Success
enc_lenna.png,Bitstream,0.992177,Success
enc_lenna.png,OPSO,0.029753,Success
enc_lenna.png,OQSO,0.655291,Success
enc_lenna.png,DNA,0.655291,Success
enc_lenna.png,Count the ones 01,0.931275,Success
enc_lenna.png,Count the ones 02,0.651831,Success
enc_lenna.png,Parking lot,0.489124,Success
enc_lenna.png,Minimum distance,0.630884,Success
enc_lenna.png,3DS spheres,0.259181,Success
enc_lenna.png,Squeeze,0.814259,Success
enc_lenna.png,Overlapping sum,0.204422,Success
enc_lenna.png,Runs,0.712114,Success
enc_lenna.png,CrapsRa,0.309390,Success
