Image,Size,NPCR(%),UACI(%),Entropy,MSE,PSNR,Time
4.1.01.png,256 X 256,99.882507,33.693267,7.997113,0.000000,inf,0.418s
4.1.01.tiff,256 X 256,99.908447,33.713080,7.997485,0.000000,inf,0.414s
4.1.02.png,256 X 256,99.903870,33.544706,7.997206,0.000000,inf,0.410s
4.1.02.tiff,256 X 256,99.896240,33.600841,7.997578,0.000000,inf,0.403s
4.1.03.png,256 X 256,99.879456,33.626135,7.996914,0.000000,inf,0.407s
4.1.03.tiff,256 X 256,99.877930,33.758246,7.997049,0.000000,inf,0.404s
4.1.04.tiff,256 X 256,99.903870,33.591883,7.997274,0.000000,inf,0.398s
4.1.05.tiff,256 X 256,99.908447,33.728805,7.997190,0.000000,inf,0.410s
4.1.06.tiff,256 X 256,99.913025,33.589896,7.997159,0.000000,inf,0.418s
4.1.07.tiff,256 X 256,99.896240,33.433473,7.997148,0.000000,inf,0.397s
4.1.08.tiff,256 X 256,99.911499,33.491384,7.997566,0.000000,inf,0.396s
4.2.01.tiff,512 X 512,99.662018,33.430997,7.999402,0.000000,inf,1.657s
4.2.03.tiff,512 X 512,99.650955,33.542645,7.999199,0.000000,inf,1.590s
4.2.05.tiff,512 X 512,99.624634,33.428545,7.999312,0.000000,inf,1.683s
4.2.06.tiff,512 X 512,99.650574,33.546943,7.999274,0.000000,inf,6.452s
4.2.07.tiff,512 X 512,99.640656,33.416153,7.999326,0.000000,inf,6.184s
5.1.09.tiff,256 X 256,99.894714,33.546681,7.997042,0.000000,inf,1.361s
5.1.10.tiff,256 X 256,99.909973,33.445070,7.996919,0.000000,inf,1.398s
5.1.11.png,256 X 256,99.884033,33.504926,7.997623,0.000000,inf,1.453s
5.1.11.tiff,256 X 256,99.884033,33.504926,7.997623,0.000000,inf,1.475s
5.1.12.tiff,256 X 256,99.906921,33.559211,7.997394,0.000000,inf,1.427s
5.1.13.tiff,256 X 256,99.899292,33.581615,7.997055,0.000000,inf,1.410s
5.1.14.tiff,256 X 256,99.905396,33.612767,7.996780,0.000000,inf,1.396s
5.2.08.tiff,512 X 512,99.642944,33.487378,7.999339,0.000000,inf,5.816s
5.2.09.tiff,512 X 512,99.652481,33.487682,7.999344,0.000000,inf,6.023s
5.2.10.tiff,512 X 512,99.637222,33.479043,7.999332,0.000000,inf,5.565s
5.3.01.tiff,1024 X 1024,99.891853,33.553303,7.999818,0.000000,inf,23.428s
5.3.02.tiff,1024 X 1024,99.888706,33.546174,7.999825,0.000000,inf,22.746s
7.1.01.tiff,512 X 512,99.638748,33.543830,7.999359,0.000000,inf,5.909s
7.1.02.tiff,512 X 512,99.650192,33.432499,7.999351,0.000000,inf,5.922s
7.1.03.tiff,512 X 512,99.657059,33.520433,7.999336,0.000000,inf,5.881s
7.1.04.tiff,512 X 512,99.634171,33.433673,7.999330,0.000000,inf,5.875s
7.1.05.tiff,512 X 512,99.646759,33.472426,7.999281,0.000000,inf,5.724s
7.1.06.tiff,512 X 512,99.654388,33.389837,7.999308,0.000000,inf,5.769s
7.1.07.tiff,512 X 512,99.633789,33.490173,7.999433,0.000000,inf,5.508s
7.1.08.tiff,512 X 512,99.650574,33.452386,7.999224,0.000000,inf,5.917s
7.1.09.tiff,512 X 512,99.642181,33.415361,7.999279,0.000000,inf,6.030s
7.1.10.tiff,512 X 512,99.639130,33.544122,7.999310,0.000000,inf,5.653s
7.2.01.tiff,1024 X 1024,99.888611,33.599973,7.999803,0.000000,inf,23.396s
Baboon.png,512 X 512,99.665451,33.448380,7.999350,0.000000,inf,5.815s
Black.png,512 X 512,99.652100,33.479569,7.999335,0.000000,inf,5.502s
White.png,512 X 512,99.644470,33.484473,7.999306,0.000000,inf,5.698s
aeroplane.png,512 X 512,99.624252,33.476705,7.999309,0.000000,inf,5.490s
aeroplane.tiff,512 X 512,99.624634,33.428545,7.999312,0.000000,inf,6.154s
b.jpg,1024 X 1024,99.890327,33.552548,7.999848,0.000000,inf,25.252s
black1.png,168 X 300,99.740079,33.588617,7.995974,0.000000,inf,1.017s
boat.512.tiff,512 X 512,99.650574,33.402515,7.999121,0.000000,inf,5.732s
cameraman.jpg,256 X 256,99.884033,33.605556,7.997342,0.000000,inf,1.747s
girl.tiff,256 X 256,99.903870,33.591883,7.997274,0.000000,inf,1.526s
gray21.512.tiff,512 X 512,99.638367,33.405718,7.999403,0.000000,inf,5.529s
house.tiff,512 X 512,99.642181,33.478429,7.999162,0.000000,inf,5.800s
jet.tiff,512 X 512,99.650192,33.432499,7.999351,0.000000,inf,5.707s
1024.png,903 X 1782,99.909493,33.574782,7.999904,0.000000,inf,35.432s
ruler.512.tiff,512 X 512,99.638367,33.477309,7.999328,0.000000,inf,5.659s
